Datetime,Region,Why,Inspector
1/2/17 1:00,NY/NJ,spot off Long Island,Laura Nazzaro
1/3/17 11:00,NY/NJ,a few NW vectors in mostly W field?,Laura Nazzaro
1/3/17 14:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 15:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 16:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 17:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 18:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 19:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 20:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 21:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 22:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/3/17 23:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/4/17 0:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/4/17 1:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/4/17 2:00,NY/NJ,"low-speed line on (73.8, 39.3) to (72.6, 40.5) diagonal?",Laura Nazzaro
1/4/17 7:00,Massachusetts,Line of low velocities inconsistent with surrounding area off Nantucket,Josh Kohut
1/4/17 10:00,Massachusetts,Area of low velocities inconsistent with surrounding area off Cape Cod,Josh Kohut
1/5/17 12:00,Massachusetts,Area of low velocities inconsistent with surrounding area off Nantucket,Josh Kohut
1/7/17 17:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 18:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 19:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 20:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 21:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 22:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/7/17 23:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/8/17 0:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/8/17 1:00,Outer Banks,GS area southward vectors,Teresa Updyke
1/8/17 2:00,Outer Banks,GS area southward vectors,Teresa Updyke
